Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:33975	3.2.1.182	DIMBOA beta-D-glucoside + H2O = DIMBOA + D-glucose	CHEBI:37573;CHEBI:15377;CHEBI:18048;CHEBI:4167	EC:3.2.1.182 4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase	127
RHEA:33979	3.2.1.182	DIBOA beta-D-glucoside + H2O = DIBOA + D-glucose	CHEBI:63670;CHEBI:15377;CHEBI:63558;CHEBI:4167	EC:3.2.1.182 4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase	127
RHEA:33987	4.2.3.132	(+)-copalyl diphosphate = neoabietadiene + diphosphate	CHEBI:58635;CHEBI:29651;CHEBI:33019	EC:4.2.3.132 neoabietadiene synthase	6
RHEA:34063	2.4.1.284	2-deoxystreptamine + UDP-alpha-D-glucose = 2'-deamino-2'-hydroxyparomamine + UDP + H(+)	CHEBI:65069;CHEBI:58885;CHEBI:65071;CHEBI:58223;CHEBI:15378	EC:2.4.1.284 2-deoxystreptamine glucosyltransferase	1
RHEA:34095	4.1.1.96	carboxyspermidine + H(+) = spermidine + CO2	CHEBI:65072;CHEBI:15378;CHEBI:57834;CHEBI:16526	EC:4.1.1.96 carboxynorspermidine decarboxylase	3104
RHEA:34099	4.1.1.96	carboxynorspermidine + H(+) = norspermidine + CO2	CHEBI:65070;CHEBI:15378;CHEBI:57920;CHEBI:16526	EC:4.1.1.96 carboxynorspermidine decarboxylase	3104
RHEA:34119	2.3.1.206	hexanoyl-CoA + 3 malonyl-CoA + 3 H(+) = 3,5,7-trioxododecanoyl-CoA + 3 CO2 + 3 CoA	CHEBI:62620;CHEBI:57384;CHEBI:15378;CHEBI:66957;CHEBI:16526;CHEBI:57287	EC:2.3.1.206 3,5,7-trioxododecanoyl-CoA synthase	1
RHEA:34135	1.21.3.7	cannabigerolate + O2 = Delta(9)-tetrahydrocannabinolate + H2O2	CHEBI:66962;CHEBI:15379;CHEBI:66963;CHEBI:16240	EC:1.21.3.7 tetrahydrocannabinolic acid synthase	1
RHEA:34143	1.21.3.7	cannabinerolate + O2 = Delta(9)-tetrahydrocannabinolate + H2O2	CHEBI:66961;CHEBI:15379;CHEBI:66963;CHEBI:16240	EC:1.21.3.7 tetrahydrocannabinolic acid synthase	0
RHEA:34159	2.3.1.203	UDP-N-acetylbacillosamine + acetyl-CoA = UDP-N,N'-diacetylbacillosamine + CoA + H(+)	CHEBI:63277;CHEBI:57288;CHEBI:67134;CHEBI:57287;CHEBI:15378	EC:2.3.1.203 UDP-N-acetylbacillosamine N-acetyltransferase	2
RHEA:34163	1.13.11.66	hydroquinone + O2 = (2E,4Z)-4-hydroxy-6-oxohexa-2,4-dienoate + H(+)	CHEBI:17594;CHEBI:15379;CHEBI:66947;CHEBI:15378	EC:1.13.11.66 hydroquinone 1,2-dioxygenase	1
RHEA:34167	3.7.1.19	2,6-dihydroxypseudooxynicotine + H2O = 2,6-dihydroxypyridine + 4-(methylamino)butanoate + H(+)	CHEBI:66944;CHEBI:15377;CHEBI:17681;CHEBI:66882;CHEBI:15378	EC:3.7.1.19 2,6-dihydroxypseudooxynicotine hydrolase	1
RHEA:34171	4.3.3.7	L-aspartate 4-semialdehyde + pyruvate = (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H(+)	CHEBI:537519;CHEBI:15361;CHEBI:67139;CHEBI:15377;CHEBI:15378	EC:4.3.3.7 4-hydroxy-tetrahydrodipicolinate synthase	46885
RHEA:34175	2.3.1.208	2-hydroxybenzoyl-CoA + malonyl-CoA = 4-hydroxycoumarin + CO2 + 2 CoA	CHEBI:67148;CHEBI:57384;CHEBI:77858;CHEBI:16526;CHEBI:57287	EC:2.3.1.208 4-hydroxycoumarin synthase	2
RHEA:34207	2.4.1.282	3-O-alpha-D-glucosyl-L-rhamnose + phosphate = beta-D-glucose 1-phosphate + L-rhamnopyranose	CHEBI:66909;CHEBI:43474;CHEBI:57684;CHEBI:62346	EC:2.4.1.282 3-O-alpha-D-glucosyl-L-rhamnose phosphorylase	1
RHEA:34211	1.1.1.334	ecgonine methyl ester + NADP(+) = ecgonone methyl ester + NADPH + H(+)	CHEBI:59908;CHEBI:58349;CHEBI:66941;CHEBI:57783;CHEBI:15378	EC:1.1.1.334 methylecgonone reductase	1
RHEA:34219	1.2.1.85	(2Z,4E)-2-hydroxy-6-oxohexa-2,4-dienoate + NAD(+) + H2O = (2Z,4E)-2-hydroxyhexa-2,4-dienedioate + NADH + 2 H(+)	CHEBI:71198;CHEBI:57540;CHEBI:15377;CHEBI:28080;CHEBI:57945;CHEBI:15378	EC:1.2.1.85 2-hydroxymuconate-6-semialdehyde dehydrogenase	2
RHEA:34223	1.5.99.14	6-hydroxypseudooxynicotine + A + H2O = 2,6-dihydroxypseudooxynicotine + AH2	CHEBI:58682;CHEBI:13193;CHEBI:15377;CHEBI:66944;CHEBI:17499	EC:1.5.99.14 6-hydroxypseudooxynicotine dehydrogenase	3
RHEA:34243	2.7.7.77	Mo-molybdopterin + GTP + H(+) = Mo-molybdopterin guanine dinucleotide + diphosphate	CHEBI:71302;CHEBI:37565;CHEBI:15378;CHEBI:71310;CHEBI:33019	EC:2.7.7.77 molybdenum cofactor guanylyltransferase	20269
RHEA:34263	2.5.1.100	fumigaclavine A + dimethylallyl diphosphate = fumigaclavine C + diphosphate	CHEBI:67145;CHEBI:57623;CHEBI:67147;CHEBI:33019	EC:2.5.1.100 fumigaclavine A dimethylallyltransferase	1
RHEA:34267	2.3.1.205	fumigaclavine B + acetyl-CoA = fumigaclavine A + CoA	CHEBI:67146;CHEBI:57288;CHEBI:67145;CHEBI:57287	EC:2.3.1.205 fumigaclavine B O-acetyltransferase	2
