Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Acinetobacter indicus,30,,,,,,30,30,,30,30,,,30,,,,,,,,30
Acinetobacter johnsonii,30,28,,30,28,30,,30,,,28,,25,,,,30,,37,,30,30
Acinetobacter junii,30,,,30,30,30,37,30,,,30,,,,30,30,,,37,,,30
Acinetobacter kanungonis,30,,,,,,,,,,,,30,,,,,,,,,
Acinetobacter kookii,30,,,,,,,30,,,37,,30,32,,,,,,,,30
Acinetobacter kyonggiensis,30,,,,,,,30,,,,,30,,,,,,,,,30
Acinetobacter lactucae,33,37,,,,,,30,,,,,,,,,,,,,,
Acinetobacter lanii,28,,,,,,,,,,,,28,,,,,,,,,
Acinetobacter larvae,30,,,,,,,,,,,,30,,,,,,,,,
Acinetobacter lwoffii,30,,,30,30,30,37,30,31,,28,26,30,,37,30,,,37,,30,30
Acinetobacter marinus,30,,,,,,,30,,,30,,,30,,,,,,,,30
Acinetobacter mesopotamicus,30,,,,,,,,,,,,30,,,,,,,,,
Acinetobacter modestus,30,,,,,,30,30,,,,,,,,,,,,,,37
Acinetobacter nectaris,30,,,28,,,,30,30,,30,,,,,,,,,,,25
Acinetobacter nosocomialis,30,28,,28,,,30,37,,,30,,,,,,,,,,,30
Acinetobacter oleivorans,30,28,,,,,,30,,,,,30,,,,,,,,,
Acinetobacter oryzae,30,,,28,,,,30,,,,,,,,,,,,,,30
Acinetobacter pakistanensis,27,,,,,,,30,,,,,,25,,,,,,,,
Acinetobacter parvus,28,28,,28,,28,30,37,,,28,,,,,35,,,,,,30
Acinetobacter phage,37,,,,,,,,,,37,,,,,,,,,,,
Acinetobacter piscicola,28,,,,,,,,,,,,28,28,,,,,,,,
Acinetobacter pittii,30,28,,28,,,,30,,30,28,,,30,,,,,,,,30
Acinetobacter pittii-like,30,,,,,,,,,,,,,,,,,,,,,30
Acinetobacter plantarum,30,,,,,,,30,,,,,,30,,,,,,,,
